area_id,area_name,latitude,longitude,lighting_label,lighting_code,police_patrol,negative_keywords_count,base_score,computed_score,safety_class,tags,review_1,review_2,review_3,review_4
rohini-sector-3,Rohini Sector 3,28.7155,77.1113,poor,0,0,6,10,10,Unsafe,Low Visibility|Residential,"Very dark streets after 8 PM, no streetlights working","Secluded lanes near the park, feels unsafe at night","Deserted road after market closes, no police patrol visible","Dark alleys connecting sectors, isolated and creepy"
hauz-khas-village,Hauz Khas Village,28.5494,77.2001,good,2,1,0,100,100,Safe,Well-lit|Crowded|Market Area|Police Patrolled,Well-lit area with lots of restaurants and cafes,"Crowded market area, very safe during evening",Good police presence near the main road,"Popular tourist spot, well maintained paths"
dwarka-sector-12,Dwarka Sector 12,28.5921,77.0372,moderate,1,0,2,55,70,Moderate,Metro Connected|Residential,Metro station area is well lit and crowded,Internal lanes are dark after 9 PM,Some secluded spots near the boundary wall,Good connectivity but dark parking areas
connaught-place,Connaught Place,28.6315,77.2167,excellent,1,1,0,100,100,Safe,Well-lit|Police Patrolled|Crowded|CCTV Monitored,Extremely well-lit commercial area,Heavy police patrolling round the clock,"Crowded even late at night, very safe",Well-maintained walkways and CCTV coverage
karol-bagh,Karol Bagh,28.6514,77.1907,moderate,1,0,2,70,70,Moderate,Market Area|Crowded,Busy market area during daytime,Some dark lanes behind main market after closing hours,Generally safe but can feel deserted late night,Good crowd during shopping hours
lajpat-nagar,Lajpat Nagar,28.57,77.2373,moderate,1,1,2,70,70,Moderate,Market Area|Crowded,Central market is always crowded and well-lit,Side lanes can be dark and secluded at night,Good street food area with lots of foot traffic,Police booth present near the market entrance
saket,Saket,28.5245,77.2066,good,2,1,1,85,85,Safe,Well-lit|CCTV Monitored|Metro Connected,Select City Walk area is very well-lit and safe,Mall area has heavy security and CCTV,Residential lanes are moderate with some dark patches,Good metro connectivity
vasant-kunj,Vasant Kunj,28.5206,77.157,poor,0,0,5,25,25,Unsafe,Low Visibility|Near Forest Area,Near the ridge area feels very isolated and unsafe,Dark stretches along the main road at night,No lighting near the construction sites,Creepy vibes near the forested patches
chandni-chowk,Chandni Chowk,28.6506,77.2303,good,2,1,0,100,100,Safe,Well-lit|Crowded|Historic|Police Patrolled,"Extremely crowded during the day, safe for walking",Historic area with lots of shops and vendors,Narrow lanes but always bustling with people,Police presence near Red Fort entrance
nehru-place,Nehru Place,28.5491,77.2533,moderate,1,0,4,40,40,Caution,Commercial Area,IT market area is well lit during business hours,After 7 PM the area becomes completely deserted,Dark parking areas feel unsafe,Isolated lanes near the back of the market
greater-kailash,Greater Kailash,28.5494,77.2344,good,2,1,0,100,100,Safe,Well-lit|Police Patrolled|Residential,M Block market is well-lit and safe,Residential area has good street lighting,Regular police patrolling observed,Safe for evening walks
janakpuri,Janakpuri,28.6219,77.0815,moderate,1,0,2,70,70,Moderate,Residential|Metro Connected,District Centre area is well maintained,Some dark stretches near C-block park,Secluded areas near the Dabri border,Generally moderate safety levels
pitampura,Pitampura,28.703,77.1318,moderate,1,0,3,55,55,Caution,Metro Connected|Residential,Main road is well lit with good traffic,Internal colony roads are dark after 10 PM,Secluded park areas feel creepy at night,Metro station area is safe and well monitored
defence-colony,Defence Colony,28.573,77.2313,excellent,1,1,0,100,100,Safe,Well-lit|Police Patrolled|CCTV Monitored|Residential,Posh residential area with excellent street lighting,Market area is safe and well-patrolled,CCTV cameras at major intersections,Very safe for solo travelers
mayur-vihar,Mayur Vihar Phase 1,28.5936,77.2989,moderate,1,0,3,55,55,Caution,Metro Connected|Market Area,Metro station area well lit and crowded,Phase 1 extension has some dark lanes,River bank area feels isolated and dangerous,Good market area during daytime
south-extension,South Extension,28.5746,77.2224,good,2,1,0,100,100,Safe,Well-lit|Crowded|Market Area,Popular shopping area with good lighting,Always crowded during market hours,Well-maintained roads and footpaths,Police presence during peak hours
rohini-sector-11,Rohini Sector 11,28.7092,77.1156,poor,0,0,5,25,25,Unsafe,Low Visibility|Residential,Japanese Park area has no lighting at night,Deserted roads after 9 PM,Dark and secluded lanes near the park boundary,Unsafe for women walking alone after dark
green-park,Green Park,28.5596,77.2085,good,2,1,0,100,100,Safe,Well-lit|Metro Connected|Police Patrolled,Metro station area is safe and well lit,Main market has good foot traffic,Residential lanes are moderately lit,Police patrol visible during evening
tilak-nagar,Tilak Nagar,28.6414,77.0986,moderate,1,0,2,70,70,Moderate,Metro Connected|Market Area,Market area is busy and safe during day,After market hours some lanes become dark,Metro connectivity is good,Some isolated spots near the railway tracks
old-delhi-jama-masjid,Old Delhi - Jama Masjid,28.6507,77.2334,good,2,1,0,100,100,Safe,Well-lit|Crowded|Historic|Police Patrolled,Extremely crowded area with narrow streets,Well-lit bazaar area with constant foot traffic,Historic monument area has police presence,Street food lanes are vibrant and safe
mundka,Mundka,28.6839,77.0294,poor,0,0,6,-5,10,Unsafe,Industrial Zone|Low Visibility,Industrial area feels very isolated and dangerous,No street lighting on most roads,Deserted after factory hours,"Dark and creepy lanes, no police patrol"
khan-market,Khan Market,28.6005,77.2274,excellent,1,1,0,100,100,Safe,Well-lit|Police Patrolled|CCTV Monitored|Crowded,One of the safest markets in Delhi,Excellent lighting and CCTV coverage,Heavy police presence at all times,"Popular with diplomats and expats, very well maintained"
okhla-industrial,Okhla Industrial Area,28.5308,77.2714,poor,0,0,6,10,10,Unsafe,Industrial Zone|Low Visibility,Dark factory roads after working hours,Secluded and dangerous after 7 PM,No lighting in most internal roads,"Isolated from residential areas, feels unsafe"
rajouri-garden,Rajouri Garden,28.6474,77.1226,good,2,0,1,85,85,Safe,Well-lit|Crowded|Metro Connected|Market Area,Market area is bustling and well-lit,Metro station brings good crowd,Some dark patches in residential lanes,Generally safe for evening outings
igi-airport-area,IGI Airport Area,28.5562,77.1,excellent,1,1,0,100,100,Safe,Well-lit|Police Patrolled|CCTV Monitored|Highway,Well-lit highway with CCTV monitoring,Heavy security near terminal areas,24x7 police patrol on airport road,Very safe corridor for travelers
